501	"<img src=""E4B99E.png"" />"	beg	kerjama	that woman in bacolod	乞食	こじき	beggar	beg, reclining, lying down, fishhook	See someone <i>lying down</i> in a public place with a <i>hook</i> in place of a hand, <b>begging</b> a morsel of rice or a few pence.		3	Lying down, Captain Hook is begging to be spared from the ticking crocodile.	Men beg lying down. Women beg as hookers.	乞	こじき; こつじき【乞食】beggar / begging<br/>ほいとう; ほいと【乞児】being served food outside the meditation hall (at a Zen temple) / serving food; food served / begging; beggar<br/>こう【乞う】to beg; to ask; to request; to invite<br/>いのちごい【命ごい】begging for one's life; pleading for one's life<br/>ものごい【物ごい】beggar; begging<br/>あまごい【雨乞い】praying for rain<br/>いとまごい【暇乞】leave-taking; offering one's resignation; farewell visit<br/>こい【乞い】request; entreaty<br/>そでごい【袖乞い】beggar<br/>こつがい; かたい; かったい; きっかい【乞丐】beggar; bum	18	コツ, キツ, キ, キケ, コチ	こ.う	462	1013	0	[sound:RTK1_keyword_jp_501..mp3]	[sound:RTK1_keyword_en_501.mp3]
693	"<img src=""E78AA0.png"" />"	sacrifice	ohverdama	as a sacrifice we offer the god a righteous cow	犠飛	ぎひ	sacrifice fly (baseball)	sacrifice, cow, righteousness, sheep, ego, hand, fiesta	<i>Cow</i> . . . <i>righteousness</i>. Do NOT use the image of an animal <b>sacrifice</b> here, as that will have it own character later on.		17	A cow that is righteous sacrifices her milk for the human race.	Cows are truly righteous animals. They SACRIFICE their milk so that we can have some. And if they don´t have any left, they give a sheep a hand fiesta (good lord this is going too far) and give us that instead. What righteous cows.	犠	ぎせい【犠牲】victim; sacrifice; scapegoat<br/>ぎだ【犠打】sacrifice fly; bunt	23	ギ, キ	いけにえ	643	2048	1	[sound:RTK1_keyword_jp_693..mp3]	[sound:RTK1_keyword_en_693.mp3]
694	"<img src=""E68AB9.png"" />"	rub	voolima	shaping a clay tree with your fingers using a backwards and forwards movement. watch as its lenght grows into extremity	抹消	まっしょう	erasure; delete (e.g. DEL character)	rub, finger, fingers, extremity, one, tree, wood	Fingers . . . extremity.		8	I like to RUB my FINGERS over my EXTREMITIES ....like my extremity-ly long, umm, hair.... This has been edited in response to being reported ...you can change ´hair´ to whatever extremity-ly long body part you like.	When you´re cold, your RUB your FINGERS over your EXTREMITIES vigorously to warm up a bit. I´d still rather go in for a warm fire and some hot cocoa, though.	抹	まっさつ【抹殺】erasure; denial; obliteration; ignoring (an opinion)<br/>いちまつ【一抹】(a) touch of; tinge of; wreath (e.g. of smoke) / one stroke; one brush<br/>まっしょう【抹消】erasure; delete (e.g. DEL character)<br/>まっちゃ【抹茶】powdered green tea for ceremonies<br/>デンマーク【丁抹】Denmark<br/>まっこう【抹香】incense; incense powder<br/>とまつ【塗抹】smear; daub; coating over	23	マツ		644	1219	1	[sound:RTK1_keyword_jp_694..mp3]	[sound:RTK1_keyword_en_694.mp3]
695	"<img src=""E68BAD.png"" />"	wipe	ära pühkima	wipe off the sweat from your face if a stylish manner	拭く	ふく	to wipe; to dry	wipe, finger, fingers, style, arrow, craft	Fingers . . . style.		9	Why carry a handkerchief? I wipe my nose finger-style.	If you are going to wipe your nose with your fingers, better do it in a grand style.	拭	ふく【拭く】to wipe; to dry<br/>ぬぐう【拭う】to wipe / to get rid of; to eliminate (e.g. one's shame); to remove (e.g. an impression); to erase<br/>てふき【手拭】(hand) towel; handkerchief; paper tissue; napkin; serviette<br/>ふっしょく; ふっしき【払拭】wiping out; sweeping away<br/>ふきとる【ふき取る】to wipe off; to wipe up<br/>てぬぐい【手ぬぐい】(hand) towel<br/>ふきそうじ【拭き掃除】cleaning; scrubbing<br/>しりぬぐい【尻ぬぐい】cleaning up or covering for another; bearing the consequences of someone else's error; paying a debt for someone; wiping another's buttocks<br/>てふき【手拭】(hand) towel; handkerchief; paper tissue; napkin; serviette<br/>ふきこむ【拭き込む】to wipe thoroughly; to polish	23	ショク, シキ	ぬぐ.う, ふ.く	2254	1300	0	[sound:RTK1_keyword_jp_695..mp3]	[sound:RTK1_keyword_en_695.mp3]
696	"<img src=""E68B89.png"" />"	yank	äkiline tõmme	vaasi pealt fooliumi ära tirimine	拉麺	ラーメン	ramen; Chinese-style noodles		"The sense of this key word is to pull or jerk, as in opening a door or making ""ramen"" noodles. Its elements: <i>fingers</i> . . . <i>vase</i>."		8			拉	らち【拉致】taking captive; carrying away; kidnapping; kidnaping; abduction<br/>ひしぐ【拉ぐ】to crush	23	ラツ, ラ, ロウ	らっ.する, ひし.ぐ, くだ.く		1206	0	[sound:RTK1_keyword_jp_696..mp3]	[sound:RTK1_keyword_en_696.mp3]
697	"<img src=""E68AB1.png"" />"	embrace	embama	kaisutama. When embracing someone, wrap your fingers around her butt for added effect.	抱く	いだく	to embrace; to hold in the arms (e.g. a baby); to hug	embrace, finger, fingers, wrap, bound up, snake, self	Fingers . . . wrap.		8	When embracing someone, wrap your fingers around her butt for added effect. You may think of ´bound with snakes´ as a description of the fingers slithering around the buttocks, if you want a particularly graphic image.	Here, I´m picturing that scene from ET (the extra terrestrial), where ET hugs Elliot before leaving. You see that EMBRACE is ET´s long FINGERS that WRAP around Elliot.	抱	いだく; だく; うだく【懐く】to embrace; to hold in the arms (e.g. a baby); to hug / to harbour (e.g. grudge) (harbor); to bear (e.g. a grudge); to entertain (e.g. suspicion) / to have sex with; to make love to; to sleep with / to sit on eggs<br/>かかえる【抱える】to hold or carry under or in the arms / to have (esp. problems, debts, etc.) / to employ; to engage; to hire<br/>だきしめる【抱きしめる】to hug someone close; to hold someone tight; to embrace closely<br/>だきつく【抱きつく】to cling to; to embrace<br/>しんぼう【辛抱】patience; endurance<br/>だきあう【抱き合う】to embrace each other<br/>だきあげる【抱き上げる】to hold up in one's arms<br/>ほうよう【抱擁】embrace; hug; holding in one's arms<br/>かいほう【介抱】nursing; looking after<br/>だきしめる【抱きしめる】to hug someone close; to hold someone tight; to embrace closely<br/>かかえこむ【抱えこむ】to hold a thing in one's arms; to carry in one's arms; to embrace (e.g. a baby) / to take upon oneself; to be saddled with<br/>だきすくめる【抱きすくめる】to hug tight; to grasp firmly; to embrace tightly<br/>だきおこす【抱き起す】to lift (a person) in one's arms; to help (a person) sit up<br/>かかえこむ【抱えこむ】to hold a thing in one's arms; to carry in one's arms; to embrace (e.g. a baby) / to take upon oneself; to be saddled with<br/>だきとめる【抱きとめる】to hold a person back; to restrain; to catch in one's arms<br/>かかえ【抱え】armful / employee<br/>しんぼうづよい【辛抱強い】patient; persevering<br/>だきこむ【抱き込む】to hold in one's arms / to bring over a person to one's side; to involve<br/>よこだき【横抱き】carrying (child) under arm<br/>だきとめる【抱きとめる】to hold a person back; to restrain; to catch in one's arms	23	ホウ	だ.く, いだ.く, かか.える	645	1218	2	[sound:RTK1_keyword_jp_697..mp3]	[sound:RTK1_keyword_en_697.mp3]
698	"<img src=""E690AD.png"" />"	board	pardale astuma	the vessel has just left but you just managed to jump on it. Now you are clinging from an edge with your left hand fingers and the flowers you have in the other hand are securing the grip in a crack between two metal panels (fit)	搭載	とうさい	loading (on board); equipping	board, finger, fingers, flowers, fit, meeting, umbrella, one, mouth	The key word refers to <b>boarding</b> vessels for travel. Its elements are: <i>finger</i> . . . <i>flowers</i> . . . <i>fit together</i> (See frame 270).		12	Ok, this is a little wierd, but i took this back to the kanji for pagoda (#254). I think it helps simplify the image, and also helps anchor the pagoda kanji in memory better as an added bonus. say this aloud once, and i think it will bring out a vivid image very quickly: ´Now boarding the pagoda ride. Please keep your fingers inside at all times...´.	When you board the ship on the way out from Hawaii a beautiful crewmember takes her fingers and fits a lei around you ....a lei is flowers fitted together with your fingers.	搭	とうさい【搭載】loading (on board); equipping / equipped (with); built-in<br/>とうじょう【搭乗】embarkation; boarding (an aeroplane, airplane)	23	トウ		646	1641	1	[sound:RTK1_keyword_jp_698..mp3]	[sound:RTK1_keyword_en_698.mp3]
699	"<img src=""E68A84.png"" />"	extract	välja pigistama	You can extract the orange juice by inserting a few fingers.	抄本	しょうほん	excerpt; abridgment; book of selections	extract, finger, fingers, few	Fingers . . . a few.		7	You can extract her juices by inserting a few fingers.	The mafia want to extract information from you. You don´t say a word, so out comes the knife. They cut of your fingers until you only have a few left and then you speak.	抄	しょうろく【抄録】quotation; abstract; selection; summary<br/>しょうやく【抄訳】abridged translation<br/>すぐき【抄録】regional pickle of Kyoto made from turnip-like vegetable<br/>ししょう【詩抄】anthology<br/>しょうしゅつ【抄出】taking excerpts; extraction<br/>しょうほん【抄本】excerpt; abridgment; book of selections<br/>すく【抄く】to make something (i.e. paper) from wet, pulpy material by spreading it thin and drying it	23	ショウ		647	1140	1	[sound:RTK1_keyword_jp_699..mp3]	[sound:RTK1_keyword_en_699.mp3]
700	"<img src=""E68A97.png"" />"	confront	vastu seadma	Try to confront the water downflow in the sink with fingers. It doesn´t work	抗議	こうぎ	protest; confront	confront, finger, fingers, whirlwind, top hat, wind	Fingers . . . a whirlwind.		7	Gandalf confronts the evil beast, shouting ´you shall not pass!´. He holds up a single finger and sends forth a whirlwind.	Imagine a thumb war. A confrontation of fingers in a whirlwind.	抗	ていこう【抵抗】resistance; opposition; standing up to / reluctance; repulsion; repugnance / resistance; drag; friction / electrical resistance / resistor<br/>こうぎ【抗議】protest; objection<br/>たいこう【対抗】opposition; antagonism<br/>はんこう【反抗】opposition; resistance; insubordination; defiance; hostility; rebellion<br/>こう【抗】anti-<br/>あらがう【争う】to go against; to fight against; to oppose; to resist; to deny<br/>こうそう【抗争】dispute; resistance<br/>むていこう【無抵抗】nonresistance<br/>こうべん【抗弁】protest; refutation; pleading<br/>きっこう; けっこう【拮抗】rivalry; competition; antagonism; struggle for supremacy / rising and falling (of a bird)<br/>こうせん【抗戦】resistance<br/>ふかこうりょく【不可抗力】act of God; irresistible force; inevitability / force majeure; vis major<br/>こうたい【抗体】antibody<br/>こうにち【抗日】anti-Japanese<br/>こうする【抗する】to resist; to defy<br/>こうきょ【抗拒】resistance; opposition<br/>こうげん【抗元】antigen<br/>こうりょく【抗力】drag; fluid resistance<br/>こうきん【抗菌】antibacterial; antimicrobial	23	コウ	あらが.う	648	1139	1	[sound:RTK1_keyword_jp_700..mp3]	[sound:RTK1_keyword_en_700.mp3]
701	"<img src=""E689B9.png"" />"	criticism	kritiseerima	My criticism earned me the FINGER when I COMPARED her cooking to my mother´s.	批判	ひはん	criticism; judgement; judgment; comment	criticism, finger, fingers, compare, spoon, sitting on the ground, spoon2, sitting on the ground2	Finger . . . compare.		7	Think of the two most famous critics, Ebert and Roeper. On their show, they compare thumbs (which are technically fingers) with each other before dispensing criticism.	My criticism earned me the FINGER when I COMPARED her cooking to my mother´s.	批	ひひょう【批評】criticism; review; commentary<br/>ひはん【批判】criticism; judgement; judgment; comment<br/>ひなん【批難】criticism; blame; censure; attack; reproach<br/>ひはんてき【批判的】critical<br/>ひてん【批点】correction marks<br/>ひじゅん【批准】ratification; ratify	23	ヒ		649	973	2	[sound:RTK1_keyword_jp_701..mp3]	[sound:RTK1_keyword_en_701.mp3]
702	"<img src=""E68B9B.png"" />"	beckon	sõrmega kutsuma	sõrmega kutsuma. A Geisha beckons you with her index finger, and as you approach she runs her fingers all over her body in an attempt to seduce you.	招く	まねく	to invite; to ask	beckon, finger, fingers, summon, seduce, sword, dagger, mouth	Finger . . . seduce.		8	A Geisha beckons you with her index finger, and as you approach she runs her fingers all over her body in an attempt to seduce you. Keyword meaning : “invite”.	I bet you all know the Maneki Neko, or beckoning cat, who with its raised fingers tries to seduce all good things (success, happiness and harmony) to its owner.	招	まねく【招く】to invite; to ask / to beckon; to wave someone in; to gesture to / to call in; to send for; to summon / to bring on oneself; to cause; to incur; to lead to; to result in<br/>しょうたい; しょうだい【招待】invitation<br/>てまねき【手まねき】beckoning<br/>まねきいれる【招き入れる】to invite in; to show someone in<br/>しょうしゅう【招集】calling or convening (a meeting, assembly, congress)<br/>まねき【招き】invitation<br/>しょうらい【招来】invitation; bringing about; giving rise to; causing<br/>しょうへい【招へい】(courteous) invitation; call / to invite (with the utmost courtesy, e.g. an expert or professor to give a lecture)<br/>しょうたいきゃく【招待客】invitee<br/>しょうこん【招魂】invocation of the dead<br/>まねきねこ【招き猫】beckoning cat; figure of a cat with one paw raised (usu. white porcelain)<br/>さしまねく【差し招く】to beckon (to)<br/>しょうち【招致】invitation; summons; bidding (e.g. to host the Olympics); calling<br/>しょうせい【召請】calling together; invitation<br/>しょうえん【招宴】banquet; invitation to a party; party<br/>しょうずる【召ずる】to summon; to invite; to call; to have as one's guest	23	ショウ	まね.く	650	735	2	[sound:RTK1_keyword_jp_702..mp3]	[sound:RTK1_keyword_en_702.mp3]
703	"<img src=""E68B93.png"" />"	clear the land	teed tegema	I imagine clearing the land in order to set up your tent after a long day of backpacking. Using your fingers, you pick up all of the rocks and get them out of the way so that you can get a comfortable night sleep. If you don´t clear the land you can just picture the rock sticking into your back as you toss and turn all night long.	拓く	ひらく	to open (e.g. path); to clear (the way); to break up (e.g. land)	clear the land, finger, fingers, stone, rock	Fingers . . . rocks.		8	A huge index finger coming down from the sky is kicking boulders of rock, clearing the land. Maybe it´s the finger of God preparing a place for his little people to live.	I imagine clearing the land in order to set up your tent after a long day of backpacking. Using your fingers, you pick up all of the rocks and get them out of the way so that you can get a comfortable night sleep. If you don´t clear the land you can just picture the rock sticking into your back as you toss and turn all night long.	拓	かいたく【開拓】reclamation (e.g. wasteland); cultivation; development; opening up (e.g. new market) / pioneering; pathfinding; trail-blazing<br/>ひらく【拓く】to open (e.g. path); to clear (the way); to break up (e.g. land)<br/>かんたく【干拓】land reclamation (from sea)<br/>たくほん【拓本】rubbed copy; folio of rubbings<br/>みかいたく【未開拓】undeveloped; wild (areas)<br/>たくしょく【拓殖】colonization; colonisation; exploitation	23	タク	ひら.く	651	1213	1	[sound:RTK1_keyword_jp_703..mp3]	[sound:RTK1_keyword_en_703.mp3]
704	"<img src=""E68B8D.png"" />"	clap	plaksutama	(Image: the most snooty prim and proper English Lord with white gloves clapping only with his fingers. ´´Oh bravo old chap. Bravo...´´).	拍手	はくしゅ	clapping hands; applause	clap, finger, fingers, white, dove	Fingers . . . white.		8	(Image: the most snooty prim and proper English Lord with white gloves clapping only with his fingers. ´Oh bravo old chap. Bravo...´).	I clapped so hard, my fingers became white.	拍	ひょうし【拍子】(musical) time; tempo; beat; rhythm / the moment; the instance; chance<br/>かしわで; はくしゅ【拍手】clapping one's hands in prayer (at a shrine)<br/>はくしゅ【拍手】clapping hands; applause<br/>はくしゃ【拍車】(riding) spur<br/>いっぱく【一拍】one clap / one beat / one mora (taken as a unit of time)<br/>ひょうしぬけ【拍子抜け】anticlimax; let-down; disappointment; loss of interest<br/>はく【拍】beat / mora<br/>しらびょうし【白拍子】dancing girl (end of the Heian period) / prostitute / tempo in gagaku<br/>しんぱく【心拍】heart rate<br/>てびょうし【手拍子】beating time with one's hands; clapping to the beat / making a careless move (in Go, shogi, etc.); responding to an opponent's move without proper thought<br/>みゃくはく【脈拍】pulse; pulse rate; pulsation; stroke of pulse<br/>ひょうしぎ【拍子木】wooden clappers<br/>さんびょうし【三拍子】triple time / three important requisites<br/>あしびょうし【足拍子】beating time with one's foot<br/>とんとんびょうし; トントンびょうし【とんとん拍子】without a hitch; swimmingly; with rapid strides<br/>とんとんびょうし; トントンびょうし【とんとん拍子】without a hitch; swimmingly; with rapid strides<br/>よんびょうし; しびょうし【四拍子】quadruple time<br/>くちびょうし【口拍子】counting time orally	23	ハク, ヒョウ		652	1216	1	[sound:RTK1_keyword_jp_704..mp3]	[sound:RTK1_keyword_en_704.mp3]
705	"<img src=""E68993.png"" />"	strike	lajatama	lajatama. My teacher used to strike my fingers with a street sign.	打つ	うつ	to hit; to strike; to knock; to beat; to punch; to slap; to tap; to bang; to clap; to pound	strike, finger, fingers, street, nail, spike	Finger . . . spike.		5	You´re using a hammer to drive a nail into a plank, but you miss and strike your fingers, ouch ! PS: the character does not mean ´to go on strike´, it will be very helpful in the long run to create images that convey the proper sense of the character!	My teacher used to strike my fingers with a street sign.	打	ぶつ【打つ】to hit (a person); to strike; to beat<br/>うつ【打つ】to hit; to strike; to knock; to beat; to punch; to slap; to tap; to bang; to clap; to pound / to strike (noon, etc.); to sound (cymbals, etc.); to beat (a drum, etc.) / to beat (rhythmically, e.g. pulse, waves, etc.) / to move; to impress; to touch / to drive in; to hammer in; to put in; to inject / to type; to send; to transmit / to insert; to write in; to mark / to make (noodles, etc.); to prepare / to till (soil) / to sprinkle; to throw; to cast / to do; to carry out; to play; to perform; to engage in (gambling, etc.) / to pay (a deposit, etc.) / to visit (on a pilgrimage) / to line (a coat) / to bind (a criminal)<br/>ダース【打】dozen<br/>だ【打】hitting a ball; batting; stroke<br/>したうち【舌打ち】smacking lips; clicking tongue; tut-tut<br/>うちあける【打ち明ける】to be frank; to speak one's mind; to open one's heart<br/>ぶちあける【打ち明ける】to forcefully open up a hole (in a wall, etc.) / to speak frankly, holding nothing back / to throw out everything inside<br/>だげき【打撃】blow; shock; strike; damage / batting<br/>なみうつ【波打つ】to dash against; to undulate; to wave; to heave; to beat fast (heart)<br/>うちこむ【打ち込む】to drive in (e.g. nail, stake); to hammer in / to hit (a ball, etc.); to drive; to smash / to fire into (e.g. a crowd); to launch (e.g. missiles); to lob (e.g. grenades) / to input (data); to enter / to devote oneself to; to go heart and soul into; to throw oneself into; to go head over heels for / to practice hitting (baseball, tennis, etc.) / to hit (an opponent in kendo, boxing, etc.); to get a blow in / to invade one's opponent's territory (in the game of go); to place a stone in an opponent's formation / to pour (concrete, etc.) into a form<br/>ぶちこむ【打ち込む】to throw; to toss; to cast / to hit; to strike; to smash; to hammer in; to drive in / to fire into (e.g. a crowd); to launch (e.g. missiles); to lob (e.g. grenades) / to wear (sword, etc.); to carry<br/>みゃくうつ【脈打つ】to pound (e.g. heart); to pulse (e.g. vein); to pulsate<br/>うちつける【打ちつける】to nail / to knock; to bang (e.g. one's head); to strike (hard) / to throw (e.g. a rock); to fling<br/>うちあわせ【打ち合せ】advance arrangements; preparatory meeting; briefing session / overlap (of a coat, etc.) / making something match exactly<br/>うちけす【打ち消す】to deny; to contradict / to negate (esp. a sound); to drown out<br/>みみうち【耳打】whispering into a person's ear<br/>しうち【仕打ち】(poor) treatment; (bad) behavior; behaviour; action; act<br/>うちのめす; ぶちのめす【打ちのめす】to knock down; to beat (someone) up / to injure (someone) so badly they cannot recover (esp. emotionally); to overwhelm (with mental anguish, etc.)<br/>ふいうち【不意打ち】surprise attack<br/>うちきる【打ち切る】to stop; to abort; to discontinue; to close	23	ダ, ダアス	う.つ, う.ち-, ぶ.つ	653	355	2	[sound:RTK1_keyword_jp_705..mp3]	[sound:RTK1_keyword_en_705.mp3]
706	"<img src=""E68B98.png"" />"	arrest	vahistama	You approach the thief from behind, stick your finger at his back to fake a gun, and say the phrase ´´You´re under arrest, pal´´.	拘留	こうりゅう	detention; hold a person in custody	arrest, finger, fingers, phrase, bound up, mouth	Fingers . . . phrase.		8	You approach the thief from behind, stick your finger at his back to fake a gun, and say the phrase ´You´re under arrest´.	Giving the police the finger and a colorful phrase is a surefire way to get arrested.	拘	こうそく【拘束】restriction; restraint; binding; constraint<br/>こだわる【拘る】to fuss over; to be particular about / to be obsessive; to be fixated<br/>かかわる【係る】to be affected; to be influenced / to be concerned with; to have to do with / to stick to (opinions)<br/>こうりゅう【拘留】custody; detention; confinement<br/>こうきん【拘禁】intern<br/>こうち【拘置】detention; confinement; arrest<br/>かかわる【係る】to be affected; to be influenced / to be concerned with; to have to do with / to stick to (opinions)<br/>こだわる【拘る】to fuss over; to be particular about / to be obsessive; to be fixated<br/>こうでい【拘泥】adherence to; being a stickler; being particular about<br/>こういん【勾引】arrest; custody; seduction; abduction	23	コウ	かか.わる	654	1211	1	[sound:RTK1_keyword_jp_706..mp3]	[sound:RTK1_keyword_en_706.mp3]
707	"<img src=""E68DA8.png"" />"	discard	ära viskama	ära viskama. and suddenly the cottage door opened and then appeared the fingers holding some rubbish to be discarded	捨てる	すてる	to throw away; to cast away; to dump; to discard	discard, finger, fingers, cottage, little-thatch, umbrella, lidded crock, earthenware jar, soil, dirt, ground, mouth	Fingers . . . cottage.		11	Someone stuck their fingers in my cottage cheese! I´m going to have to discard the lot!	The wicked witch from Hansel and Gretel only likes the meaty parts of kids. Outside her candy cottage, you can see a pile of discarded fingers.	捨	"すてる【捨てる】to throw away; to cast away; to dump; to discard / to abandon; to desert; to leave / to give up; to resign<br/>みすてる【見すてる】to abandon; to fail; to desert; to forsake<br/>なげすてる【投げ捨てる】to throw away<br/>ぬぎすてる【脱ぎ捨てる】to fling; to throw off (clothes); to kick off (boots)<br/>きりすてる【切り捨てる】to cut down; to slay / to truncate; to round down; to round off / to omit; to discard; to cast away<br/>いいすてる【言い捨てる】to say (something) over one's shoulder<br/>よびすて【呼び捨て】addressing someone without an honorific such as ""san""<br/>つかいすて; つかいずて【使い捨】throwaway; disposable<br/>ききすてる【聞き捨てる】to ignore; to overlook<br/>すておく【捨て置く】to leave as is; to ignore<br/>かなぐりすてる【かなぐり捨てる】to fling off; to throw off; to throw to the winds<br/>すてさる【捨て去る】to abandon (ship)<br/>うちすてる【打ち捨てる】to throw away; to abandon<br/>のりすてる【乗り捨てる】to get off; to abandon (a ship or vehicle)<br/>すてみ【捨身】at the risk of one's life<br/>すてみ【捨身】at the risk of one's life<br/>しゃしん【捨身】renouncing the flesh or the world; becoming a priest; risking one's life for others<br/>やきすてる【焼き捨てる】to burn up<br/>ふりすてる【振り捨てる】to shake off; to forsake<br/>すてご; きじ【捨子】abandoned child; foundling"	23	シャ	す.てる	655	894	2	[sound:RTK1_keyword_jp_707..mp3]	[sound:RTK1_keyword_en_707.mp3]
708	"<img src=""E68B90.png"" />"	kidnap	inimrööv	Kidnaper is gragging behing his victim hooked from mouth	誘拐	ゆうかい	abduction; kidnapping; kidnaping	kidnap, finger, fingers, mouth, sword, dagger	Finger . . . mouth . . . dagger.		8	Wrap your FINGERS around someone´s MOUTH to keep them quiet, then put the KNIFE to their throat to ensure their cooperation. This is the best way to KIDNAP someone.	After you beckon (#650) someone by seducing them, you kidnap them and hang them upside down (the reversed positions of seduce).	拐	ゆうかい【誘拐】abduction; kidnapping; kidnaping<br/>かどわかす【勾かす】to kidnap<br/>かいたい【拐帯】absconding with money	23	カイ		656	1208	1	[sound:RTK1_keyword_jp_708..mp3]	[sound:RTK1_keyword_en_708.mp3]
709	"<img src=""E69198.png"" />"	pinch	näpistama	An aunt loves to violently pinch cheeks with her antique fingers. one time the child was left holes in cheeks	指摘	してき	pointing out; identification	pinch, finger, fingers, antique, vase, stand up, hood, old, tombstone, gravestone, church, ten, needle, mouth	Finger . . . antique.		14	My grandma always pinched me with her fingers when i was playing with her antiques. Imagine her fingers, also quite antique, thin, bony and hard, pinching at your hand. ´Keep your fingers away from my antiques!!´.	&gt;_&lt; Don´t you hate when your aunt (who is an antique) PINCHES your cheeks with her antique fingers?	摘	してき【指摘】pointing out; identification<br/>つむ【摘む】to pluck; to pick; to trim<br/>つまむ【抓む】to pinch; to hold; to pick up<br/>てきしゅつ【摘出】picking out; exposing; taking out; -ectomy (suf) (surgical removal)<br/>てきはつ【摘発】exposing; unmasking; laying bare<br/>つまみ【抓み】knob; handle; button / (file) handle / snack (to have with a drink); side dish / a pinch (e.g. of salt) / picking; harvesting<br/>つまみとる; つみとる【摘み取る】to pluck; to pick; to nip off<br/>てきよう【摘要】summary; outline<br/>かいつまむ【掻い摘む】to sum up; to summarize; to summarise<br/>かいつまむ【掻い摘む】to sum up; to summarize; to summarise<br/>つまみぐい【摘まみ食い】eating with one's fingers / snitching food; snatched food; secret eating; food snatched and eaten without the meal starting / embezzlement; misappropriation; exploiting something / flirting<br/>つみくさ【摘み草】picking herbs and wildflowers	23	テキ	つ.む	657	1840	1	[sound:RTK1_keyword_jp_709..mp3]	[sound:RTK1_keyword_en_709.mp3]
710	"<img src=""E68C91.png"" />"	challenge	väljakutse	It´s a challenge to stand on a turtle´s back on one finger. That Chinese kung-fu master who can stand on one finger.	挑戦	ちょうせん	challenge; defiance; dare; attempt; try	challenge, finger, fingers, turtle, portent	Fingers . . . portent.		9	Here comes a new challenge, try to kill Bowser, the giant Turtle using jut on finger.	"You are sure to take a challenge because your victory was portended. So you stand self-confident before your foe, point a finger at him and say ""I will prevail, as was long portended!""."	挑	ちょうせん【挑戦】challenge; defiance; dare; attempt; try<br/>ちょうはつ【挑撥】provocation; stirring up; arousal<br/>いどむ【挑む】to challenge; to throw down the gauntlet; to contend for; to tackle / to pressure someone for sex; to woo; to make love to<br/>ちょうはつ【挑撥】provocation; stirring up; arousal	23	チョウ	いど.む	658	1304	1	[sound:RTK1_keyword_jp_710..mp3]	[sound:RTK1_keyword_en_710.mp3]
711	"<img src=""E68C87.png"" />"	finger	sõrm	vanaema koogivahu nõu puhtaks tõmbamine sõrmega	指	ゆび	finger; toe; digit	finger, fingers, delicious, spoon, sitting on the ground, sun, day	Finger . . . delicious.		9	Finger lickin´ delicious.	"I remember this not as finger which has too many uses elsewhere but as ""fingering"" then its easy: fingering some delicious..."	指	ゆびさき【指先】fingertip; finger / toe tip; toe<br/>しき【指揮】command; direction<br/>しじ【指示】indication; instruction; designation; directions<br/>ゆびさす【指さす】to point at<br/>さす【指す】to point / to nominate; to select someone; to specify some person / to identify; to indicate; to point out / to play / to extend one's arm straight ahead (in dance)<br/>めざす【目ざす】to aim at; to have an eye on / to go toward; to head for<br/>おやゆび【親指】thumb<br/>してき【指摘】pointing out; identification<br/>しどう【指導】leadership; guidance; coaching / shido (disciplinary action for a minor infringement of the rules of judo)<br/>ひとさしゆび【人差指】index finger<br/>ゆびわ【指環】(finger) ring<br/>しれい【指令】orders; instructions; directive; command<br/>なかゆび; ちゅうし【中指】middle finger; long finger; second finger; tall finger; middle toe; third toe<br/>してい【指定】designation; specification; assignment; appointment; pointing at<br/>しもん【指紋】fingerprint<br/>こゆび【子指】little finger; pinky / little toe<br/>しめい【指名】name; nominate; designate<br/>さしず【指図】instruction; mandate; directions<br/>さししめす【指し示す】to indicate; to show; to point to<br/>ひとさしゆび【人差指】index finger	23	シ	ゆび, さ.す, -さ.し	659	305	2	[sound:RTK1_keyword_jp_711..mp3]	[sound:RTK1_keyword_en_711.mp3]
